player_name,type,matches,events
Nadal,WinEvent,7,288
Nadal,ErrorEvent,7,144
Nadal,DoubleEvent,7,13
Nadal,AceEvent,7,42
Federer,WinEvent,7,317
Federer,ErrorEvent,7,214
Federer,DoubleEvent,7,20
Federer,AceEvent,7,85
Verdasco,WinEvent,6,268
Verdasco,ErrorEvent,6,200
Verdasco,DoubleEvent,6,20
Verdasco,AceEvent,6,52
Roddick,WinEvent,6,227
Roddick,ErrorEvent,6,115
Roddick,DoubleEvent,6,13
Roddick,AceEvent,6,87
Simon,WinEvent,5,202
Simon,ErrorEvent,5,162
Simon,DoubleEvent,5,14
Simon,AceEvent,5,29
Tsonga,WinEvent,5,226
Tsonga,ErrorEvent,5,174
Tsonga,DoubleEvent,5,11
Tsonga,AceEvent,5,49
Potro,WinEvent,5,187
Potro,ErrorEvent,5,147
Potro,DoubleEvent,5,12
Potro,AceEvent,5,39
Djokovic,WinEvent,5,176
Djokovic,ErrorEvent,5,159
Djokovic,DoubleEvent,5,14
Djokovic,AceEvent,5,37
Gonzalez,WinEvent,4,226
Gonzalez,ErrorEvent,4,177
Gonzalez,DoubleEvent,4,16
Gonzalez,AceEvent,4,44
Blake,WinEvent,4,143
Blake,ErrorEvent,4,110
Blake,DoubleEvent,4,15
Blake,AceEvent,4,21
Monfils,WinEvent,4,141
Monfils,ErrorEvent,4,147
Monfils,DoubleEvent,4,16
Monfils,AceEvent,4,39
Murray,WinEvent,4,134
Murray,ErrorEvent,4,92
Murray,DoubleEvent,4,7
Murray,AceEvent,4,21
Cilic,WinEvent,4,135
Cilic,ErrorEvent,4,156
Cilic,DoubleEvent,4,11
Cilic,AceEvent,4,55
Robredo,WinEvent,4,52
Robredo,ErrorEvent,4,45
Robredo,DoubleEvent,4,5
Robredo,AceEvent,4,24
Berdych,WinEvent,4,179
Berdych,ErrorEvent,4,150
Berdych,DoubleEvent,4,10
Berdych,AceEvent,4,38
Baghdatis,WinEvent,4,157
Baghdatis,ErrorEvent,4,170
Baghdatis,DoubleEvent,4,15
Baghdatis,AceEvent,4,37
Andreev,WinEvent,3,65
Andreev,ErrorEvent,3,99
Andreev,DoubleEvent,3,16
Andreev,AceEvent,3,27
Gasquet,WinEvent,3,191
Gasquet,ErrorEvent,3,137
Gasquet,DoubleEvent,3,15
Gasquet,AceEvent,3,34
Almagro,WinEvent,3,98
Almagro,ErrorEvent,3,80
Almagro,DoubleEvent,3,10
Almagro,AceEvent,3,47
Stepanek,WinEvent,3,23
Stepanek,ErrorEvent,3,39
Stepanek,DoubleEvent,3,14
Stepanek,AceEvent,3,25
Sela,WinEvent,3,19
Sela,ErrorEvent,3,25
Sela,DoubleEvent,3,8
Sela,AceEvent,3,7
Melzer,WinEvent,3,64
Melzer,ErrorEvent,3,56
Melzer,DoubleEvent,3,5
Melzer,AceEvent,3,28
Haas,WinEvent,3,105
Haas,ErrorEvent,3,84
Haas,DoubleEvent,3,7
Haas,AceEvent,3,23
Ancic,WinEvent,3,80
Ancic,ErrorEvent,3,78
Ancic,DoubleEvent,3,6
Ancic,AceEvent,3,27
Lu,WinEvent,3,63
Lu,ErrorEvent,3,93
Lu,DoubleEvent,3,9
Lu,AceEvent,3,19
Santoro,WinEvent,3,107
Santoro,ErrorEvent,3,70
Santoro,DoubleEvent,3,8
Santoro,AceEvent,3,24
Ferrer,WinEvent,3,91
Ferrer,ErrorEvent,3,125
Ferrer,DoubleEvent,3,12
Ferrer,AceEvent,3,16
Fish,WinEvent,3,71
Fish,ErrorEvent,3,73
Fish,DoubleEvent,3,12
Fish,AceEvent,3,44
Wawrinka,WinEvent,3,71
Wawrinka,ErrorEvent,3,72
Wawrinka,DoubleEvent,3,11
Wawrinka,AceEvent,3,17
Delic,WinEvent,3,46
Delic,ErrorEvent,3,56
Delic,DoubleEvent,3,16
Delic,AceEvent,3,70
Safin,WinEvent,3,100
Safin,ErrorEvent,3,82
Safin,DoubleEvent,3,10
Safin,AceEvent,3,40
Muller,WinEvent,2,125
Muller,ErrorEvent,2,91
Muller,DoubleEvent,2,13
Muller,AceEvent,2,49
Berrer,WinEvent,2,29
Berrer,ErrorEvent,2,18
Berrer,DoubleEvent,2,11
Berrer,AceEvent,2,13
Istomin,WinEvent,2,21
Istomin,ErrorEvent,2,35
Istomin,DoubleEvent,2,7
Istomin,AceEvent,2,15
Fognini,WinEvent,2,0
Fognini,ErrorEvent,2,0
Fognini,DoubleEvent,2,12
Fognini,AceEvent,2,7
Granollers,WinEvent,2,18
Granollers,ErrorEvent,2,27
Granollers,DoubleEvent,2,4
Granollers,AceEvent,2,14
Chaunac,WinEvent,2,33
Chaunac,ErrorEvent,2,40
Chaunac,DoubleEvent,2,12
Chaunac,AceEvent,2,21
Beck,WinEvent,2,0
Beck,ErrorEvent,2,0
Beck,DoubleEvent,2,12
Beck,AceEvent,2,6
Karlovic,WinEvent,2,49
Karlovic,ErrorEvent,2,42
Karlovic,DoubleEvent,2,4
Karlovic,AceEvent,2,38
Gulbis,WinEvent,2,53
Gulbis,ErrorEvent,2,80
Gulbis,DoubleEvent,2,9
Gulbis,AceEvent,2,25
Clement,WinEvent,2,12
Clement,ErrorEvent,2,31
Clement,DoubleEvent,2,5
Clement,AceEvent,2,4
Hanescu,WinEvent,2,0
Hanescu,ErrorEvent,2,0
Hanescu,DoubleEvent,2,7
Hanescu,AceEvent,2,10
Cipolla,WinEvent,2,15
Cipolla,ErrorEvent,2,29
Cipolla,DoubleEvent,2,14
Cipolla,AceEvent,2,3
Guccione,WinEvent,2,87
Guccione,ErrorEvent,2,58
Guccione,DoubleEvent,2,7
Guccione,AceEvent,2,24
Ljubicic,WinEvent,2,61
Ljubicic,ErrorEvent,2,40
Ljubicic,DoubleEvent,2,5
Ljubicic,AceEvent,2,43
Canas,WinEvent,2,32
Canas,ErrorEvent,2,23
Canas,DoubleEvent,2,9
Canas,AceEvent,2,30
Karanusic,WinEvent,2,15
