Round,Name
7,Nadal
6,Federer
5,Verdasco
5,Roddick
4,Simon
4,Tsonga
4,Potro
4,Djokovic
3,Gonzalez
3,Blake
3,Monfils
3,Murray
3,Cilic
3,Robredo
3,Berdych
3,Baghdatis
2,Andreev
2,Gasquet
2,Almagro
2,Stepanek
2,Sela
2,Melzer
2,Haas
2,Ancic
2,Lu
2,Santoro
2,Ferrer
2,Fish
2,Wawrinka
2,Delic
2,Safin
1,Muller
1,Berrer
1,Istomin
1,Fognini
1,Granollers
1,Chaunac
1,Beck
1,Karlovic
1,Gulbis
1,Clement
1,Hanescu
1,Cipolla
1,Guccione
1,Ljubicic
1,Canas
1,Karanusic
1,Koubek
1,Garcia-Lopez
1,Bolelli
1,Dabul
1,Klein
1,Soderling
1,Hrbaty
1,Chardy
1,Troicki
1,Malisse
1,Kohlschreiber
1,Korolev
1,Mathieu
1,Nalbandian
1,Tomic
1,Tipsarevic
1,Mayer
0,Dancevic
0,Serra
0,Hewitt
0,Pavel
0,Lapentti
0,Hernych
0,Youzhny
0,Montanes
0,Odesnik
0,Mannarino
0,Stakhovsky
0,Ball
0,Ebelthite
0,Schwank
0,Spadea
0,Arguello
0,Polansky
0,Darcis
0,Kunitsyn
0,Golubev
0,Massu
0,Monaco
0,Junqueira
0,Gabashvili
0,Gimeno-Traver
0,Nishikori
0,Devilder
0,Schuettler
0,Andujar
0,Tursunov
0,Kindlmann
0,Rochus
0,Nieminen
0,Benneteau
0,Minar
0,Llodra
0,Stoppini
0,Querrey
0,Rehnquist
0,Groth
0,Daniel
0,Calleri
0,Reynolds
0,Martin
0,Bellucci
0,Starace
0,Ferrero
0,Kendrick
0,Phau
0,Isner
0,Anderson
0,Ouahab
0,Ginepri
0,Moya
0,Navarro
0,Gremelmayr
0,Petzschner
0,Gicquel
0,Hernandez
0,Zverev
0,Vliegen
0,Dent
0,Seppi
